ALE
153,55
JOE SELL 716,39 707
ALE BUY 164,18 688
POP BUY 88,62 717
POP BUY 520,53 885
GIN BUY 951,84 125
TEA BUY 548,31 266
POP BUY 42,52 627
TEA SELL 28,73 839
POP SELL 941,11 815
POP BUY 212,64 992
GIN BUY 983,76 987
POP BUY 258,6 826
GIN SELL 590,89 754
ALE SELL 222,47 435
POP SELL 94,63 49
ALE BUY 305,58 368
POP SELL 397,01 420
GIN SELL 318,6 767
POP SELL 41,2 696
POP SELL 568,04 918
JOE SELL 527,56 415
ALE SELL 622,48 198
ALE SELL 956,77 603
GIN SELL 665,48 661
JOE SELL 331,86 790
POP SELL 392,3 753
GIN SELL 101,29 358
GIN SELL 657,38 887
GIN BUY 775,17 588
GIN BUY 329,71 874
JOE SELL 696,41 39
POP SELL 62,93 445
GIN BUY 299,19 82
POP SELL 937,46 354
ALE BUY 436,4 751
ALE SELL 181,45 790
JOE BUY 608,38 229
POP SELL 427,72 109
ALE SELL 174,82 616
GIN BUY 213,66 96
TEA SELL 881,96 824
JOE BUY 681,2 273
GIN SELL 286,99 719
GIN BUY 683,72 966
JOE SELL 911,83 870
GIN BUY 757,13 136
JOE SELL 208,22 520
GIN BUY 662 212
ALE SELL 666,16 645
GIN SELL 453,88 402
ALE SELL 647,81 210
POP SELL 288,71 230
JOE SELL 778,78 984
GIN BUY 420,51 290
JOE SELL 978,89 535
GIN SELL 98,25 442
ALE BUY 464,44 261
POP SELL 319 958
GIN SELL 303,98 571
GIN SELL 644,37 332
POP BUY 359,71 585
ALE BUY 537,29 767
POP SELL 696,35 958
POP SELL 926,1 559
JOE SELL 789,78 700
POP BUY 953,1 872
ALE BUY 117,18 93
GIN BUY 114,46 650
ALE BUY 960,97 88
ALE SELL 248,58 642
TEA BUY 508,45 772
JOE SELL 79,97 783
JOE BUY 579,08 788
POP BUY 275,63 424
POP BUY 561,7 804
POP SELL 220,92 143
ALE BUY 393,44 413
GIN BUY 972,11 126
GIN BUY 662,49 63
POP SELL 92,43 363
POP SELL 166,82 881
JOE BUY 328,8 137
ALE SELL 510,67 514
TEA SELL 336,28 551
GIN BUY 571,1 345
GIN BUY 907,1 82
POP SELL 916,43 687
GIN BUY 411,55 395
GIN SELL 508,69 842
POP BUY 407,54 906
TEA SELL 272,13 109
GIN BUY 626,01 847
JOE SELL 359,75 135
ALE BUY 789,12 789
POP SELL 199,93 194
JOE BUY 968,31 900
GIN SELL 655,2 276
TEA BUY 439,31 394
GIN BUY 875,16 92
POP SELL 240,94 933
POP SELL 675,54 362
GIN SELL 894,99 950
TEA BUY 525,53 992
ALE BUY 993,97 150
GIN BUY 475,35 12
JOE BUY 614,01 662
ALE SELL 606,05 382
ALE SELL 759,61 593
TEA SELL 833,7 37
JOE BUY 297,66 959
POP BUY 149,8 769
TEA SELL 87,46 243
ALE SELL 630,23 830
POP SELL 263,86 64
GIN BUY 794,42 353
POP BUY 880,66 695
GIN SELL 147,1 957
POP BUY 371,11 411
JOE SELL 984,43 160
GIN SELL 532,73 926
ALE SELL 796,66 449
TEA SELL 993,3 380
TEA SELL 849,32 131
ALE SELL 365,23 636
ALE SELL 774,93 316
POP SELL 545,21 869
GIN BUY 257,38 668
POP SELL 866,19 674
GIN BUY 140,85 753
POP SELL 58,85 203
JOE SELL 545,4 137
ALE SELL 229,34 48
JOE BUY 821,31 561
POP BUY 310,59 869
ALE SELL 424,04 830
TEA SELL 694,06 12
GIN BUY 41,99 273
TEA BUY 999 583
POP BUY 559,05 881
POP BUY 186,24 743
POP BUY 683,92 492
GIN SELL 473,56 192
GIN SELL 328,3 640
ALE BUY 759,74 90
JOE SELL 65,91 923
ALE BUY 514,1 906
ALE BUY 254,49 6
ALE SELL 338,83 917
TEA SELL 652,66 627
GIN SELL 660,99 367
GIN BUY 613,76 214
POP SELL 261,22 512
JOE SELL 188,72 975
GIN BUY 596,22 39
GIN BUY 719,95 582
POP BUY 122,03 598
JOE BUY 758,23 805
ALE SELL 75,14 442
GIN BUY 384,79 711
POP BUY 418,44 407
POP BUY 270,41 296
GIN SELL 909,07 713
GIN SELL 53,76 649
POP SELL 495,17 348
JOE BUY 870,84 39
ALE BUY 498,61 994
GIN BUY 117,73 503
POP BUY 290,7 755
POP SELL 778,52 825
TEA SELL 417,85 163
TEA SELL 900,51 14
GIN BUY 384,34 211
GIN BUY 48,75 629
ALE BUY 549,19 388
ALE SELL 821,97 589
ALE BUY 844,01 964
ALE BUY 761,74 310
ALE BUY 269,14 16
ALE BUY 237,17 290
TEA BUY 374,84 916
ALE BUY 137 513
POP BUY 184,74 294
JOE SELL 451,1 272
TEA SELL 268,51 696
JOE SELL 73,57 282
GIN BUY 920,81 426
JOE SELL 409,26 193
ALE SELL 653,47 323
JOE BUY 615,96 875
GIN BUY 458,07 450
GIN BUY 564,05 69
POP SELL 545,82 938
JOE BUY 845,92 292
POP BUY 521,87 465
ALE SELL 416,91 89
GIN SELL 201,02 128
ALE SELL 700 4
ALE BUY 521,85 671
GIN BUY 236,23 888
ALE BUY 266,42 329
JOE BUY 212,8 393
JOE SELL 542,34 759
POP BUY 451,06 780
JOE SELL 234,54 810
POP SELL 686,14 398
TEA BUY 883,48 115
POP BUY 220,62 442
GIN BUY 697,08 739
ALE SELL 283,89 866
JOE SELL 653,19 375
ALE BUY 679,55 556
ALE SELL 899,81 833
POP SELL 552,66 118
ALE SELL 909,94 794
GIN BUY 358,97 917
TEA SELL 98,19 88
ALE BUY 368,21 207
POP SELL 856,18 961
POP SELL 283,29 483
ALE SELL 213,71 94
ALE SELL 807,71 401
GIN BUY 582,72 338
ALE SELL 242,87 896
ALE SELL 291,16 426
GIN BUY 447,72 356
GIN BUY 863,74 132
ALE SELL 742,37 951
ALE BUY 256,54 625
GIN SELL 587,99 510
TEA SELL 502,68 4
ALE BUY 124,93 526
TEA SELL 475,83 255
GIN BUY 901,01 176
POP SELL 728,87 106
JOE SELL 372,17 466
GIN BUY 614,49 543
ALE BUY 7,37 845
TEA SELL 144,93 947
JOE SELL 79,87 932
GIN BUY 297,8 106
GIN BUY 476,87 192
POP SELL 725,02 597
TEA BUY 109,54 694
POP SELL 71,95 251
ALE SELL 755,48 296
GIN BUY 363,74 722
ALE BUY 415,69 893
TEA SELL 165,87 366
TEA BUY 517,97 563
ALE BUY 475,97 946
GIN SELL 548,92 755
ALE SELL 553,94 885
TEA BUY 946,42 853
ALE SELL 147,37 54
TEA SELL 334,79 758
TEA BUY 819,38 347
ALE SELL 434,47 321
JOE SELL 335,72 516
ALE BUY 228,45 767
ALE BUY 318,47 18
POP BUY 217,32 459
POP SELL 623,02 851
TEA SELL 845,08 614
GIN BUY 145,6 618
GIN SELL 427,63 848
GIN SELL 18,36 321
ALE BUY 166,11 643
POP SELL 398,94 608
POP SELL 77,02 117
POP BUY 311,63 460
POP BUY 921,16 706
POP SELL 247,13 576
GIN SELL 463,5 609
GIN BUY 477,95 923
ALE BUY 645,87 127
POP BUY 296,5 197
ALE BUY 504,66 251
GIN BUY 632,87 187
POP SELL 915,41 107
ALE BUY 759,28 274
POP BUY 496,52 134
ALE SELL 38,42 562
POP BUY 253,83 98
TEA BUY 922,45 366
TEA BUY 798,36 304
POP SELL 659,91 56
JOE SELL 219,15 632
GIN BUY 417,44 494
POP BUY 943,14 248
TEA BUY 773,45 549
JOE SELL 164,3 105
GIN BUY 790,61 430
GIN BUY 673,84 603
ALE BUY 124,38 822
JOE SELL 173,74 16
GIN BUY 874,47 72
POP BUY 405,48 555
ALE BUY 136,34 900
GIN BUY 675,98 168
GIN SELL 459,72 392
TEA SELL 613,01 460
ALE SELL 671,23 236
GIN SELL 231,76 324
GIN BUY 768,07 475
TEA SELL 644,93 164
GIN BUY 839,9 226
ALE BUY 998,11 817
POP BUY 225,81 138
ALE BUY 462,67 531
ALE BUY 363,61 554
TEA BUY 368,11 624
ALE SELL 38,2 626
GIN BUY 805,83 678
ALE BUY 986,33 870
JOE BUY 286,52 388
GIN SELL 64,59 895
GIN SELL 283,1 421
ALE SELL 437,74 302
GIN BUY 741,13 907
GIN BUY 494,4 978
ALE BUY 889,05 420
JOE BUY 447,11 294
JOE SELL 929,88 568
POP SELL 823,82 925
POP SELL 446,68 541
POP BUY 307,84 287
JOE BUY 603,79 253
POP SELL 633,26 838
TEA BUY 475,68 916
POP SELL 492,89 719
ALE SELL 85,71 186
POP BUY 665,7 476
JOE BUY 986,58 216
JOE SELL 820,94 864
POP BUY 464,75 252
POP SELL 705,71 948
TEA SELL 700,61 627
ALE SELL 673,33 8
ALE BUY 466,61 260
GIN SELL 759,28 985
TEA BUY 195,34 37
TEA SELL 761,82 444
JOE SELL 499,56 673
ALE BUY 34,46 301
GIN BUY 476,18 928
GIN BUY 947,06 810
ALE SELL 376,34 288
JOE BUY 222,78 526
GIN SELL 473,52 473
GIN BUY 607,89 257
GIN BUY 211,73 381
ALE BUY 581,38 226
ALE BUY 965,82 344
GIN SELL 61,47 943
GIN BUY 995,98 796
GIN BUY 316,04 509
TEA SELL 428,34 724
ALE BUY 534,04 367
GIN SELL 343,92 508
ALE BUY 764,86 706
ALE SELL 307,71 27
ALE BUY 182,66 32
GIN BUY 920,03 127
POP SELL 882,85 635
GIN BUY 222,29 827
ALE BUY 667,55 936
ALE BUY 39,04 871
ALE SELL 527,2 955
ALE SELL 588,33 491
TEA BUY 775,31 400
TEA SELL 942,58 489
GIN BUY 43,38 91
GIN BUY 171,81 17
POP SELL 592,95 730
JOE BUY 251,38 642
POP SELL 652 247
GIN SELL 66,19 589
POP BUY 732,55 203
ALE SELL 93,42 246
JOE BUY 136,51 2
ALE SELL 595,86 326
POP BUY 106,93 891
POP BUY 407,76 265
TEA SELL 331,56 985
GIN SELL 645,4 749
POP SELL 755,85 816
JOE SELL 924,19 465
ALE BUY 912,27 132
TEA SELL 914,6 447
GIN SELL 223,21 940
JOE BUY 318,66 626
POP SELL 984,22 30
JOE BUY 599,32 455
ALE SELL 984,88 476
GIN BUY 44,49 708
TEA SELL 974,18 835
JOE BUY 998,02 835
ALE SELL 427,42 48
TEA BUY 339,35 473
GIN BUY 321,76 277
GIN BUY 544,2 973
POP SELL 877,45 165
TEA BUY 908,03 73
POP BUY 471,65 251
ALE SELL 764,53 67
GIN BUY 181,98 544
POP BUY 781 83
ALE SELL 666,81 478
ALE BUY 662,8 340
TEA SELL 339,33 749
ALE SELL 848,74 496
POP BUY 42,35 761
POP BUY 29,64 446
POP SELL 680,99 678
POP SELL 571,86 182
ALE SELL 520,2 316
TEA BUY 178,04 591
POP BUY 104,16 367
ALE BUY 366,96 288
GIN BUY 4,61 685
GIN SELL 604,59 858
POP BUY 855,12 637
GIN BUY 168,35 114
GIN BUY 378,36 735
GIN BUY 76,61 240
POP SELL 363,35 67
POP BUY 665,49 929
ALE BUY 799,8 233
GIN SELL 644,95 879
TEA SELL 626,48 802
TEA SELL 716,22 259
POP SELL 800,68 510
POP SELL 82,63 15
POP SELL 645,93 694
POP SELL 435,79 118
TEA SELL 684,71 703
ALE SELL 249,27 134
ALE SELL 413,49 268
POP SELL 461,67 705
TEA BUY 726,94 76
GIN BUY 881,26 835
ALE BUY 948,46 29
JOE SELL 894,09 59
POP BUY 673,92 933
ALE SELL 307,73 896
POP SELL 885,8 598
ALE BUY 412,47 163
TEA SELL 44,63 601
TEA SELL 592,33 46
ALE BUY 114,88 176
ALE SELL 67,51 12
TEA SELL 732,2 3
ALE SELL 600,74 950
GIN SELL 969,14 845
GIN BUY 249,14 137
GIN BUY 406,38 311
GIN BUY 494 898
GIN BUY 466,43 199
GIN SELL 330,22 82
POP SELL 216,88 180
GIN SELL 147,61 697
GIN BUY 100,22 806
GIN BUY 486,02 343
POP BUY 297,34 67
ALE SELL 996,38 280
POP SELL 681,52 8
GIN SELL 189,53 264
GIN BUY 570,25 126
ALE SELL 805,14 510
ALE SELL 731,62 542
POP SELL 882,45 383
POP BUY 352,53 191
GIN SELL 865,14 700
POP BUY 925,6 503
JOE SELL 322,08 741
JOE BUY 261,93 339
GIN SELL 116,29 338
TEA BUY 86,63 136
ALE BUY 103,88 653
ALE BUY 924,25 535
JOE SELL 695,17 515
ALE BUY 231,05 955
POP BUY 859,93 422
POP BUY 981,25 860
ALE SELL 408,81 568
POP SELL 164,19 706
ALE BUY 633,02 523
JOE BUY 899,46 815
ALE BUY 634,22 417
GIN BUY 127,06 647
POP BUY 926,7 738
POP BUY 79,64 220
TEA BUY 143,83 126
GIN BUY 993,73 672
TEA SELL 930,94 750
GIN BUY 767,16 180
JOE BUY 356,5 157
TEA SELL 519,54 760
TEA SELL 423,71 690
GIN SELL 263,02 644
GIN SELL 514,55 838
ALE SELL 140,09 261
GIN BUY 848,25 148
TEA SELL 935,77 39
JOE SELL 286,34 535
TEA BUY 820,97 512
ALE BUY 66,14 135
ALE SELL 534,15 493
GIN SELL 294,83 34
GIN BUY 458,35 280
POP BUY 286,19 507
ALE BUY 300,52 135
ALE BUY 71,8 625
ALE SELL 330,27 546
JOE BUY 669,08 338
GIN SELL 385,06 976
GIN SELL 937,87 402
GIN BUY 98,77 117
ALE BUY 107,78 762
GIN BUY 60,81 875
ALE BUY 308,33 259
POP BUY 862,75 567
ALE SELL 683,77 761
POP BUY 239,41 88
ALE SELL 924,77 101
JOE SELL 761,64 15
JOE SELL 298,98 414
GIN SELL 787,64 897
GIN SELL 512,39 758
ALE BUY 629,9 229
JOE SELL 983,64 108
ALE BUY 144,84 820
GIN SELL 363,23 111
GIN BUY 202,17 574
POP BUY 379,76 196
TEA SELL 740,94 905
GIN BUY 345,08 915
ALE SELL 369,36 275
POP SELL 900,51 620
ALE SELL 715,43 603
GIN BUY 836,17 843
ALE BUY 985,38 524
GIN BUY 65,3 990
TEA BUY 436,99 733
ALE SELL 85,75 223
GIN SELL 724,75 920
ALE SELL 510,68 618
POP BUY 324 12
JOE SELL 500,32 994
ALE SELL 490,95 730
ALE BUY 177,06 5
ALE BUY 465,76 682
GIN SELL 355,71 360
ALE BUY 875,56 494
POP BUY 171,09 296
POP SELL 544,55 712
GIN BUY 434,91 655
GIN BUY 168,16 457
GIN SELL 803,97 184
TEA BUY 558,37 85
ALE SELL 91,75 918
POP SELL 417,06 329
GIN SELL 305,43 769
ALE SELL 844,62 663
GIN SELL 240,26 666
TEA BUY 40,73 885
ALE SELL 713,53 882
GIN BUY 904,39 139
JOE BUY 769,88 386
JOE SELL 490,14 891
POP SELL 440,28 361
TEA BUY 527,67 568
GIN BUY 886,44 223
GIN BUY 461,71 868
ALE BUY 12,95 782
ALE BUY 719,26 978
JOE BUY 878,9 381
GIN BUY 161,22 177
GIN SELL 491,26 153
JOE SELL 925,48 571
ALE SELL 811,89 733
JOE SELL 118,37 950
POP SELL 60,28 61
TEA SELL 61,68 996
TEA BUY 644,04 129
ALE SELL 52,16 343
TEA BUY 299,15 777
ALE BUY 840,51 212
POP SELL 272,05 923
GIN SELL 287,08 625
TEA SELL 625,55 816
ALE SELL 900,99 426
GIN SELL 0,61 196
TEA BUY 220,06 598
GIN SELL 416,01 458
ALE SELL 238,31 622
ALE BUY 938 194
JOE BUY 338,19 852
JOE BUY 301,9 724
TEA SELL 434,52 162
TEA SELL 817,62 471
ALE SELL 287,23 342
GIN SELL 141,33 308
POP BUY 189,86 978
ALE BUY 745,1 232
JOE BUY 490,92 815
JOE BUY 166,7 969
GIN BUY 655,02 837
ALE BUY 371,42 396
POP SELL 821,02 549
TEA SELL 808,16 873
GIN BUY 64,02 199
ALE SELL 991,61 856
GIN SELL 818,23 939
GIN SELL 692,71 405
ALE BUY 168,02 146
JOE SELL 69,34 449
POP BUY 963,75 408
ALE BUY 319,24 923
ALE SELL 969,82 900
ALE SELL 687,31 134
ALE SELL 501,73 150
POP SELL 909,19 979
TEA BUY 259,2 421
ALE SELL 423,3 874
JOE BUY 312,51 210
GIN BUY 933,14 497
GIN BUY 448,95 588
POP SELL 152,16 731
TEA SELL 336,53 389
GIN BUY 813,04 399
POP BUY 211,81 460
ALE BUY 273,45 663
TEA SELL 49,14 487
ALE SELL 300,37 200
ALE BUY 418,06 117
ALE SELL 864,94 524
ALE SELL 486,13 374
ALE BUY 29,93 51
JOE BUY 874,01 595
GIN SELL 261,83 786
ALE BUY 320,05 397
TEA BUY 749,54 743
POP BUY 361,17 384
POP SELL 561,83 450
ALE BUY 487,32 613
TEA BUY 725,44 169
JOE SELL 476,28 26
JOE BUY 555,96 677
ALE BUY 866,12 363
POP SELL 823,49 738
ALE SELL 772,07 282
GIN BUY 585,12 618
TEA SELL 505,05 668
ALE BUY 766,19 255
GIN SELL 698,8 389
TEA BUY 822,5 959
GIN BUY 902,59 964
JOE BUY 65,4 745
GIN BUY 846,66 897
TEA BUY 481,75 664
ALE BUY 837,32 665
ALE BUY 130,95 747
POP SELL 988,82 585
GIN BUY 450,89 431
POP BUY 248,94 64
GIN BUY 54,94 560
JOE SELL 425,39 963
GIN BUY 852,04 355
JOE BUY 670,05 58
POP SELL 571,84 939
ALE BUY 128,06 854
JOE BUY 26,95 295
POP BUY 708,76 211
GIN BUY 694,41 764
GIN BUY 185,6 557
POP BUY 448,25 451
POP SELL 81,98 644
JOE BUY 525,36 148
TEA SELL 50,07 99
ALE BUY 56,54 643
ALE SELL 699,64 265
JOE BUY 744,84 516
GIN SELL 83,9 55
GIN SELL 523,24 805
GIN BUY 299,53 821
ALE BUY 273,63 134
ALE BUY 907,65 465
TEA SELL 939,2 181
GIN SELL 133,06 290
POP SELL 612,19 595
ALE BUY 48,6 325
POP BUY 429,12 725
POP SELL 201,71 104
POP SELL 355,44 769
ALE SELL 390,18 160
JOE SELL 191,74 217
JOE BUY 544,28 695
ALE SELL 383,39 696
TEA SELL 922,04 183
POP BUY 465,83 577
POP SELL 74,97 887
POP SELL 227,43 956
GIN SELL 291,06 532
GIN SELL 921,93 890
GIN BUY 472,19 612
GIN SELL 112,55 973
ALE BUY 653 91
ALE BUY 979,85 641
TEA SELL 618,14 457
GIN BUY 175,21 798
TEA SELL 325,04 394
JOE BUY 552,07 650
GIN BUY 89,22 546
GIN BUY 357,06 833
ALE BUY 739,06 109
GIN SELL 712,76 221
JOE SELL 197,23 253
ALE SELL 474,46 18
JOE BUY 195,66 601
ALE SELL 792,7 993
ALE BUY 81,23 251
GIN SELL 963,72 979
ALE SELL 919,03 90
POP SELL 399,91 999
TEA BUY 350,38 383
TEA SELL 802,15 624
ALE SELL 912,57 872
POP BUY 866,15 437
TEA SELL 777,37 877
TEA BUY 104,89 706
POP BUY 115,28 138
ALE SELL 619,06 640
GIN SELL 542,73 383
GIN SELL 897,56 833
GIN SELL 358,96 866
POP SELL 980,23 760
POP BUY 529,95 352
POP SELL 564,61 444
GIN BUY 626,16 301
GIN SELL 888,96 653
POP SELL 171,28 233
POP BUY 473,51 237
JOE SELL 108,92 509
POP SELL 51,84 477
POP BUY 344,38 21
TEA SELL 274,72 553
JOE SELL 568,34 525
JOE BUY 18,08 492
ALE BUY 819,77 617
GIN SELL 377,43 222
GIN BUY 494,84 569
GIN SELL 680,63 572
ALE BUY 759 536
TEA SELL 101,04 362
POP SELL 569,26 855
ALE SELL 703,13 917
JOE SELL 763,63 437
TEA SELL 2,52 637
POP BUY 924,76 478
ALE BUY 372,56 480
JOE BUY 974,99 990
ALE SELL 879,44 470
GIN SELL 709,45 882
POP BUY 377,77 597
GIN BUY 724,75 575
GIN SELL 948,88 716
ALE SELL 449,81 411
TEA SELL 13,64 320
TEA SELL 236,22 309
GIN BUY 702,02 287
POP SELL 714,93 444
ALE SELL 311,22 969
POP SELL 876,46 908
ALE SELL 934,64 242
ALE SELL 581,51 609
JOE BUY 593,48 374
POP SELL 459,18 884
GIN BUY 453,23 825
POP SELL 399,62 579
TEA SELL 956,91 343
JOE BUY 98,38 567
GIN BUY 957,09 969
ALE SELL 359,25 955
JOE SELL 178,93 819
GIN BUY 112,83 465
POP BUY 596 747
JOE SELL 357,68 723
GIN SELL 551,05 259
TEA BUY 481,28 453
POP BUY 703,82 291
GIN SELL 667,59 800
JOE BUY 137,77 710
ALE SELL 348,49 294
ALE BUY 207,85 657
GIN SELL 905,94 160
TEA BUY 961,35 94
JOE SELL 82 996
POP SELL 213,86 159
POP SELL 803,69 37
POP SELL 612,28 208
POP BUY 379,73 495
GIN BUY 267,07 647
TEA BUY 276,24 721
POP SELL 785,59 917
JOE BUY 928,32 173
TEA BUY 788,77 252
GIN BUY 294,68 424
ALE BUY 242,91 67
JOE SELL 112,25 710
TEA SELL 188,82 87
TEA SELL 57,83 738
POP SELL 700,29 596
ALE BUY 273,81 765
JOE SELL 153,84 396
GIN SELL 965,03 165
POP SELL 141,88 359
POP SELL 23,74 989
POP SELL 611,27 674
GIN BUY 889,75 241
ALE SELL 59,31 155
GIN BUY 102,77 874
POP BUY 869,16 230
GIN BUY 253,96 731
POP SELL 116,86 462
ALE SELL 293,81 927
GIN SELL 431,74 721
ALE SELL 403,24 410
JOE SELL 742,5 380
ALE BUY 885,07 684
POP BUY 990,8 129
GIN BUY 782,79 933
ALE SELL 144,57 284
ALE BUY 183,82 49
ALE BUY 92,83 705
GIN BUY 414,08 274
TEA BUY 254,35 676
JOE SELL 581,05 472
TEA BUY 981,92 369
ALE SELL 172,36 255
ALE SELL 94,39 753
POP SELL 666,81 452
JOE BUY 118,52 59
JOE BUY 364,98 660
GIN BUY 72,59 173
JOE BUY 896,41 875
ALE BUY 873,89 550
GIN BUY 110,39 422
POP SELL 702,06 540
GIN BUY 307,35 688
ALE BUY 900,37 216
ALE BUY 18 397
GIN SELL 246,84 81
ALE BUY 787,07 398
POP SELL 677,45 261
TEA BUY 668,84 226
TEA SELL 793,26 46
ALE BUY 391,43 908
JOE SELL 733,59 901
ALE BUY 396,89 764
POP SELL 247,24 300
GIN BUY 214,06 181
POP SELL 43,84 3
GIN BUY 871,35 606
GIN BUY 757,25 634
GIN BUY 306,37 242
POP BUY 103,21 681
POP SELL 979,51 188
TEA SELL 63,1 273
POP SELL 148,43 7
ALE BUY 175,9 353
GIN SELL 510,58 968
JOE SELL 270,51 104
POP SELL 170,64 443
GIN SELL 220,2 751
GIN SELL 140,16 198
GIN BUY 551,48 95
ALE BUY 826,1 568
POP BUY 989,26 388
GIN SELL 215,59 764
GIN SELL 270,39 432
JOE SELL 713,82 772
POP SELL 807,6 985
ALE SELL 842,02 623
POP SELL 35,91 865
POP BUY 252,74 979
GIN SELL 523,42 351
JOE BUY 769,28 312
TEA SELL 178,7 748
GIN SELL 406,43 136
ALE BUY 136,66 225
GIN SELL 579,51 43
TEA SELL 154,92 300
GIN SELL 958,69 536
POP SELL 602,89 570
ALE SELL 675,67 879
ALE BUY 375,4 565
GIN BUY 839,83 474
ALE BUY 312,95 828
ALE SELL 570,67 490
ALE BUY 960,76 584
POP SELL 3,8 732
ALE BUY 748,37 628
ALE BUY 977,39 998
POP BUY 922,17 267
POP SELL 356,09 399
ALE BUY 812,55 457
GIN BUY 199,52 395
POP BUY 267,98 479
TEA BUY 232,35 520
TEA SELL 337,81 781
GIN SELL 323 49
GIN SELL 536,09 833
ALE BUY 927,9 81
ALE SELL 268,11 129
POP BUY 708,49 791
POP BUY 252,09 680
ALE BUY 777,91 824
ALE SELL 17,62 628
JOE SELL 284,39 82
JOE SELL 813,25 824
ALE BUY 288,44 389
ALE BUY 505,04 504
GIN SELL 140,79 764
GIN SELL 298,19 421
GIN BUY 818,21 301
GIN BUY 363,73 30
ALE SELL 924,15 892
POP SELL 702,4 611
TEA BUY 311,23 274
POP BUY 827,6 436
TEA BUY 532,75 150
POP SELL 99,57 332
JOE SELL 580,07 358
POP BUY 792,78 277
ALE BUY 612,97 345
ALE SELL 228,57 860
GIN BUY 640,08 412
ALE SELL 555,07 756
GIN BUY 356,27 488
POP SELL 6,39 545
POP BUY 594,23 410
GIN BUY 723,21 508
ALE SELL 97,03 952
GIN BUY 466,7 260
JOE BUY 568,9 85
ALE BUY 807,86 329
POP SELL 211,14 218
ALE SELL 624,3 51
JOE SELL 200,27 394
ALE SELL 986,44 382
GIN BUY 815,36 696
GIN SELL 765,28 505
GIN SELL 171,65 326
GIN BUY 543,65 338
ALE SELL 767,47 133
GIN SELL 663,03 307
ALE BUY 301,48 534
ALE SELL 487,94 994
GIN BUY 467,23 104
ALE BUY 219,97 527
POP BUY 682,17 303
ALE BUY 843,52 831
TEA SELL 958,05 80
POP BUY 35,1 91
TEA SELL 369,72 350
TEA SELL 118,42 44
ALE SELL 829,53 579
POP SELL 397,27 977
POP BUY 124,09 955
GIN SELL 448,09 517
JOE BUY 420,72 905
POP BUY 204,37 608
JOE SELL 700,36 924
POP BUY 914,95 261
ALE SELL 824,17 964
GIN SELL 308,11 956
ALE SELL 190,71 883
ALE BUY 543,63 807
POP SELL 190,79 661
GIN SELL 784,74 850
POP SELL 917,1 409
POP BUY 472,06 62
ALE BUY 835,45 380
TEA BUY 631,49 996
JOE BUY 374,86 486
GIN BUY 798,24 111
GIN BUY 643,4 51
ALE SELL 388,76 198
POP SELL 726,89 797
ALE SELL 602,9 483
ALE BUY 277,44 291
POP SELL 188,14 292
ALE BUY 348,83 350
JOE BUY 647,91 377
GIN BUY 685,89 134
GIN SELL 726,22 281
ALE BUY 924,81 928
ALE SELL 250,4 337
JOE SELL 411,36 835
TEA SELL 664,13 184
ALE BUY 594,2 882
TEA SELL 832,75 891
TEA SELL 200,22 269
ALE BUY 952,87 83
POP BUY 648,94 750
ALE BUY 648,33 642
ALE SELL 412,98 396
ALE BUY 584,5 887
GIN SELL 281,77 205
POP SELL 183,02 318
ALE BUY 735,31 322
ALE SELL 268,97 296
TEA BUY 885,23 840
GIN BUY 732,5 282
POP SELL 689,98 431
JOE SELL 536,9 475
JOE SELL 401,4 286
GIN SELL 655,34 993
GIN BUY 449,46 111
JOE BUY 767,98 932
ALE BUY 222,44 158
POP SELL 801,86 931
POP BUY 449,37 546
ALE SELL 645,25 109
TEA SELL 141,93 333
JOE SELL 618,78 472
GIN BUY 302,71 108
TEA SELL 535,15 173
GIN SELL 856,96 66
ALE SELL 429,64 223
TEA SELL 514,82 818
TEA SELL 293,31 521
POP BUY 521,03 427
POP SELL 391,01 318
TEA SELL 499,21 392
GIN BUY 996,18 483
POP BUY 847,72 585
TEA BUY 624,49 165
GIN SELL 394,08 373
ALE SELL 98,37 744
TEA SELL 265,11 410
POP BUY 24,45 152
POP BUY 179,66 842
POP BUY 515,85 961
JOE BUY 621,07 914
ALE SELL 241,6 812
JOE SELL 596,36 211
ALE SELL 134,86 95
GIN SELL 939,19 25
ALE SELL 342,34 943
GIN SELL 363,63 596
GIN SELL 246,65 948
ALE SELL 725,67 189
GIN BUY 643,84 183
POP BUY 199,69 279
JOE SELL 407,98 405
POP SELL 326,79 304
TEA BUY 224,95 550
GIN SELL 141,97 743
POP SELL 227,4 886
POP SELL 837,35 494
POP BUY 612,89 429
TEA SELL 668,34 798
ALE SELL 577,33 501
ALE BUY 59,78 202
ALE BUY 145,67 523
ALE SELL 119,19 280
GIN SELL 731,9 420
GIN BUY 14,04 127
POP SELL 510,38 256
GIN SELL 920,18 840
JOE BUY 930,57 939
ALE SELL 498,33 488
JOE BUY 957,15 139
ALE SELL 105,85 308
GIN SELL 867,56 760
GIN BUY 200,59 114
POP BUY 689,01 589
ALE SELL 644,04 148
GIN BUY 607,02 981
TEA BUY 860,73 881
JOE SELL 927,43 702
JOE BUY 60,94 484
TEA BUY 424,03 282
GIN BUY 983,69 966
ALE SELL 153,7 493
ALE SELL 867,13 217
POP BUY 71,31 830
GIN SELL 603,29 441
POP SELL 26,08 83
GIN BUY 284,24 720
TEA SELL 971,82 386
JOE BUY 596,77 696
GIN BUY 472,71 346
GIN SELL 772,44 614
POP BUY 837 114
